Price,Year,Type,Shift,km,Power,Engine,Seller
38500,2012,Gasoline,Manual,103000,80,1229,Dealer
23900,1999,Gasoline,Auto,7000,65,1199,Owner
30500,2004,Gasoline,Manual,130000,90,1364,Dealer
21900,1998,LPG,Auto,136000,60,1389,Owner
22500,1998,Gasoline,Auto,157000,51,1201,Owner
44250,2014,Gasoline,Manual,26000,51,1200,Owner
54500,2015,Gasoline,Auto,48000,76,1401,Dealer
17900,2000,Diesel,Manual,199000,67,1488,Owner
38000,2008,Gasoline,Manual,81000,80,1229,Dealer
49500,2015,Gasoline,Auto,70000,90,1398,Dealer
18000,2003,Diesel,Manual,221000,126,1601,Owner
35750,2011,Diesel,Manual,185000,75,1248,Dealer
37750,2013,Gasoline,Manual,40800,85,1229,Owner
50750,2015,Gasoline,Auto,85000,90,1398,Dealer
27900,2007,Diesel,Manual,361000,51,1201,Dealer
28500,2004,Gasoline,Manual,165000,75,1199,Owner
38000,2012,Gasoline,Manual,19500,51,1200,Owner
47400,2016,Gasoline,Manual,48000,70,1229,Owner
32250,2005,LPG,Auto,121900,75,1199,Owner
44850,2011,LPG,Auto,79000,85,1229,Owner
16000,1997,LPG,Manual,220000,60,1389,Owner
22000,2003,Diesel,Manual,225000,126,1601,Owner
46750,2014,LPG,Manual,42500,85,1229,Owner
45000,2012,LPG,Manual,76000,100,1364,Dealer
40750,2014,Gasoline,Manual,50000,76,1200,Dealer
33950,2012,Gasoline,Manual,97000,80,1229,Dealer
30750,2007,Gasoline,Manual,155000,80,1229,Dealer
19000,1998,LPG,Manual,218000,90,1389,Dealer
31750,2008,Diesel,Manual,145000,75,1248,Owner
44500,2012,Diesel,Manual,90000,75,1248,Owner
26500,2005,Diesel,Manual,148000,70,1248,Owner
28900,2002,Gasoline,Manual,99000,90,1389,Owner
42950,2012,LPG,Manual,53000,85,1229,Owner
18000,2004,Diesel,Manual,238000,70,1248,Owner
19499,1999,LPG,Manual,230422,65,1199,Owner
55000,2014,Diesel,Manual,19393,95,1248,Owner
46000,2015,Gasoline,Manual,16250,70,1229,Owner
51500,2013,Diesel,Manual,63000,75,1248,Owner
45000,2014,Gasoline,Auto,38500,85,1229,Dealer
38500,2013,Diesel,Manual,114000,51,1201,Owner
39950,2013,Diesel,Manual,112000,75,1248,Dealer
23500,2005,Diesel,Manual,248000,70,1248,Owner
27950,2005,Diesel,Manual,145000,70,1248,Dealer
37500,2008,Diesel,Manual,95500,75,1248,Owner
53000,2015,Gasoline,Auto,31500,76,1401,Owner
21500,2000,LPG,Manual,255000,90,1389,Owner
36500,2011,Diesel,Manual,155000,75,1248,Owner
35000,2007,Diesel,Manual,133000,75,1248,Owner
35750,2009,Diesel,Manual,186000,75,1248,Owner
19000,1997,Gasoline,Manual,157000,90,1389,Owner
54000,2015,Gasoline,Manual,16000,76,1201,Dealer
47500,2013,Gasoline,Auto,62000,100,1364,Owner
31500,2003,LPG,Auto,184753,75,1199,Dealer
46250,2013,Gasoline,Auto,74000,100,1364,Dealer
28700,2004,Gasoline,Manual,161000,90,1364,Dealer
36900,2007,Gasoline,Auto,138000,80,1229,Dealer
23500,2000,LPG,Auto,200000,76,1201,Owner
19500,1998,LPG,Manual,194000,60,1389,Owner
22500,1998,LPG,Manual,190,90,1389,Owner
26000,2008,Diesel,Manual,208000,76,1201,Owner
29000,2005,Diesel,Manual,174000,70,1248,Owner
40500,2011,Gasoline,Manual,30310,76,1200,Owner
18000,1997,LPG,Manual,163300,60,1389,Owner
18750,2006,Diesel,Manual,218500,70,1248,Dealer
14250,1994,Gasoline,Manual,184000,45,1196,Dealer
35000,2007,LPG,Manual,94500,90,1364,Owner
30500,2005,Diesel,Auto,207000,70,1248,Owner
17000,1996,Gasoline,Manual,170000,106,1598,Owner
29500,2005,Gasoline,Auto,187000,75,1199,Owner
44000,2011,Gasoline,Auto,73000,85,1229,Owner
33000,2009,Diesel,Manual,158000,75,1248,Owner
31500,2008,Diesel,Manual,170000,90,1248,Owner
28500,2005,Gasoline,Manual,100000,80,1229,Owner
37400,2008,LPG,Auto,149715,90,1364,Owner
18500,1997,LPG,Manual,152500,76,1401,Owner
28750,2007,Diesel,Manual,200000,51,1201,Owner
37000,2010,Diesel,Manual,125133,51,1201,Owner
43000,2011,Gasoline,Manual,84500,85,1229,Owner
39950,2013,Diesel,Manual,120000,75,1248,Dealer
34500,2005,Diesel,Manual,146000,70,1248,Dealer
22850,2003,Gasoline,Auto,187000,58,973,Dealer
24500,2001,LPG,Manual,225000,90,1389,Owner
27500,2004,LPG,Manual,200000,90,1364,Owner
26500,2001,LPG,Manual,172000,75,1199,Owner
17500,1994,LPG,Manual,197000,50,1401,Owner
18750,1997,Gasoline,Manual,132200,90,1389,Owner
30900,2008,Diesel,Manual,233000,51,1201,Owner
18500,1999,Gasoline,Manual,195000,51,1201,Owner
29500,2006,Diesel,Manual,130970,75,1248,Owner
16900,2003,Diesel,Manual,196000,101,1601,Owner
20250,1997,LPG,Manual,200000,76,1201,Dealer
59750,2017,Gasoline,Auto,7903,90,1398,Dealer
18500,2005,Diesel,Manual,240000,51,1201,Owner
34250,2005,Diesel,Manual,116000,70,1248,Dealer
34750,2010,LPG,Manual,169000,80,1229,Dealer
29500,2008,Diesel,Manual,150000,75,1248,Dealer
19250,1999,LPG,Manual,206000,76,1201,Owner
29850,2003,LPG,Manual,139000,90,1389,Dealer
39000,2013,Diesel,Manual,108000,75,1248,Owner
31000,2004,Gasoline,Auto,130000,75,1199,Dealer
21750,2000,LPG,Auto,200000,90,1389,Owner
23500,2000,LPG,Auto,200150,90,1389,Owner
25000,2007,LPG,Manual,132760,76,1201,Owner
18500,1996,LPG,Manual,195000,60,1389,Owner
29000,2007,LPG,Auto,204000,80,1229,Owner
59000,2016,Gasoline,Auto,16500,90,1398,Owner
42500,2011,Diesel,Manual,85900,75,1248,Owner
41950,2010,Gasoline,Auto,164000,76,1401,Owner
21250,2003,Diesel,Manual,238000,101,1601,Owner
19500,2003,Diesel,Manual,204000,101,1601,Owner
19250,2000,LPG,Manual,172400,90,1389,Owner
26000,2004,Diesel,Manual,360000,70,1248,Owner
33500,2008,LPG,Auto,115000,90,1364,Owner
26500,2004,Diesel,Manual,209600,70,1248,Owner
20950,2000,LPG,Manual,155000,51,1200,Owner
38800,2012,Diesel,Manual,128000,75,1248,Owner
27500,2004,Gasoline,Manual,130000,75,1199,Owner
30900,2006,Diesel,Manual,189000,70,1248,Owner
27850,2003,LPG,Auto,225000,90,1389,Dealer
30000,2004,LPG,Manual,190000,76,1201,Owner
28500,2005,Diesel,Manual,255000,70,1248,Owner
45250,2011,LPG,Auto,48000,100,1364,Owner
27000,2003,Gasoline,Auto,120000,58,973,Owner
63750,2017,Gasoline,Auto,4400,76,1201,Owner
32800,2004,LPG,Auto,152150,75,1199,Owner
37500,2013,Diesel,Manual,117000,51,1201,Dealer
14900,1994,LPG,Manual,131000,76,1201,Dealer
59000,2016,Gasoline,Auto,17000,90,1398,Owner
41000,2007,Gasoline,Auto,116000,90,1364,Owner
36500,2007,LPG,Auto,137000,80,1229,Owner
37500,2011,Diesel,Manual,123168,75,1248,Dealer
39900,2012,Diesel,Manual,98000,75,1248,Dealer
29250,2004,Diesel,Auto,158000,70,1248,Owner
20000,1997,LPG,Manual,230000,101,1201,Owner
47500,2013,LPG,Auto,38000,100,1364,Owner
40900,2013,Diesel,Manual,96500,75,1248,Owner
42000,2011,Diesel,Manual,106390,75,1248,Owner
55000,2015,Gasoline,Auto,17000,90,1398,Owner
17500,1997,LPG,Manual,202000,90,1389,Owner
33000,2006,Diesel,Auto,186000,70,1248,Owner
19000,1999,LPG,Manual,179000,65,1199,Owner
65500,2016,Gasoline,Auto,2500,90,1398,Dealer
10950,1994,Gasoline,Manual,230000,45,1196,Owner
38500,2013,Diesel,Manual,134000,75,1248,Owner
29500,2004,Diesel,Manual,190000,70,1248,Owner
35500,2007,Diesel,Manual,149000,51,1201,Dealer
33500,2008,LPG,Auto,115000,90,1364,Owner
58750,2015,Diesel,Manual,17700,75,1248,Dealer
37750,2010,Diesel,Manual,160000,90,1248,Dealer
21250,1998,LPG,Manual,190000,90,1389,Dealer
42000,2011,Gasoline,Manual,136700,100,1364,Owner
29900,2006,Diesel,Manual,143000,51,1201,Dealer
21750,1998,LPG,Manual,251000,51,1401,Dealer
23750,2002,LPG,Auto,180000,51,1200,Dealer
26950,2007,Diesel,Manual,170000,75,1248,Dealer
28500,2006,Diesel,Manual,155000,75,1248,Dealer
21000,2001,LPG,Manual,180000,90,1389,Owner
44900,2014,Diesel,Manual,98000,75,1248,Dealer
19750,1996,Gasoline,Auto,141000,51,1201,Dealer
43900,2014,Diesel,Manual,121000,75,1248,Dealer
36250,2009,Gasoline,Auto,100000,80,1229,Dealer
51900,2014,Diesel,Manual,50000,51,1201,Dealer
42750,2011,LPG,Auto,99000,100,1364,Owner
30000,2006,Gasoline,Manual,127000,101,1200,Owner
43500,2013,Diesel,Manual,149300,75,1248,Dealer
49750,2016,Gasoline,Manual,25250,70,1229,Owner
25500,2003,Diesel,Manual,185000,226,1601,Dealer
32750,2004,Diesel,Manual,188000,70,1248,Owner
32900,2008,Diesel,Manual,200000,76,1201,Owner
54000,2014,Gasoline,Manual,25000,100,1364,Owner
45900,2013,Gasoline,Auto,80000,100,1364,Dealer
19250,1998,Gasoline,Manual,179000,60,1389,Owner
31000,2005,Diesel,Auto,242000,70,1248,Dealer
29500,2005,Diesel,Auto,144000,70,1248,Owner
24000,2000,Gasoline,Manual,90000,90,1389,Owner
44900,2012,LPG,Auto,82000,85,1229,Dealer
60900,2016,Gasoline,Auto,3000,90,1398,Dealer
40750,2014,Diesel,Manual,103000,75,1248,Dealer
25750,2001,LPG,Auto,233000,90,1389,Dealer
28500,2006,Diesel,Manual,189000,75,1248,Owner
22900,2001,Gasoline,Auto,169000,90,1389,Dealer
44500,2012,Diesel,Manual,67500,75,1248,Owner
41400,2014,Diesel,Manual,133000,75,1248,Owner
32999,2007,Diesel,Manual,161000,90,1248,Owner
54750,2016,Gasoline,Auto,24000,90,1398,Owner
53000,2016,Gasoline,Manual,44500,70,1229,Owner
28000,2004,LPG,Manual,114000,90,1364,Owner
45750,2012,Diesel,Manual,37400,75,1248,Owner
36500,2007,Diesel,Manual,119000,75,1248,Owner
20500,1998,LPG,Manual,115000,50,1200,Owner
55500,2015,Gasoline,Auto,19000,90,1398,Owner
39750,2012,Gasoline,Manual,52000,80,1229,Owner
